idioma_secreto,espanol
ribi tore ribi vife zoli giki zova,el jardinero no lleva el perro joven
vivi gore ribi kote zoli liba,la maestra lee el perro verde
ribi tore vivi bene dira nole,el jardinero encuentra la gata azul
ribi kita vivi sivi mivi giki zova,el músico no lleva la médica grande
vivi mivi ribi kote tore tole zova,la médica no mira el jardinero verde
vivi dira vivi kote taki tole zova,la gata no mira la niña verde
vivi mivi ribi toge tore nibe zova,la médica no busca el jardinero feliz
vivi taki vivi vife gore mibe zova,la niña no cuida la maestra joven
ribi tore ribi bene zoli nole zova,el jardinero no encuentra el perro azul
ribi rori ribi kote tore tole,el niño mira el jardinero verde
ribi kita vivi bene mivi liba,el músico lee la médica azul
ribi rori ribi toge kita tole zova,el niño no mira el músico feliz
vivi mivi ribi kita giki,la médica lleva el músico
ribi rori ribi kote tore nole,el niño encuentra el jardinero verde
vivi taki ribi bene kita liba,la niña lee el músico azul
vivi taki ribi kote zoli mibe zova,la niña no cuida el perro verde
ribi zoli ribi kote rori tole zova,el perro no mira el niño verde
vivi mivi ribi vife zoli giki,la médica lleva el perro joven
ribi tore ribi bene rori tole,el jardinero mira el niño azul
ribi tore vivi mivi mibe,el jardinero cuida la médica
ribi zoli ribi sivi kita mibe,el perro cuida el músico grande
ribi zoli vivi sivi dira mibe,el perro cuida la gata grande
vivi taki vivi mivi mibe zova,la niña no cuida la médica
ribi kita vivi vife taki nibe zova,el músico no busca la niña joven
ribi kita vivi sivi gore liba zova,el músico no lee la maestra grande
ribi zoli vivi vife dira nole,el perro encuentra la gata joven
ribi kita vivi vife gore nibe,el músico busca la maestra joven
vivi gore vivi sivi dira liba zova,la maestra no lee la gata grande
vivi gore vivi toge taki giki,la maestra lleva la niña feliz
ribi kita vivi bene mivi nole zova,el músico no encuentra la médica azul
vivi dira ribi bene rori nole,la gata encuentra el niño azul
ribi tore vivi kote mivi liba zova,el jardinero no lee la médica verde
vivi dira vivi bene mivi nole,la gata encuentra la médica azul
ribi tore vivi bene dira tole zova,el jardinero no mira la gata azul
ribi zoli ribi kote rori nibe,el perro busca el niño verde
ribi tore vivi vife gore nole zova,el jardinero no encuentra la maestra joven
ribi tore vivi kote taki tole,el jardinero mira la niña verde
vivi mivi vivi taki nole zova,la médica no encuentra la niña
vivi gore ribi vife kita tole,la maestra mira el músico joven
vivi mivi ribi bene tore nole zova,la médica no encuentra el jardinero azul
vivi gore ribi bene rori nibe,la maestra busca el niño azul
ribi tore vivi toge mivi nole,el jardinero encuentra la médica feliz
vivi mivi ribi vife tore nibe zova,la médica no busca el jardinero joven
vivi taki vivi dira nole zova,la niña no encuentra la gata
ribi kita vivi kote taki giki,el músico lleva la niña verde
vivi gore vivi mivi liba,la maestra lee la médica
vivi gore ribi bene kita giki,la maestra lleva el músico azul
vivi dira ribi toge rori mibe zova,la gata no cuida el niño feliz
vivi dira vivi gore nole zova,la gata no encuentra la maestra
ribi tore ribi vife zoli nole,el jardinero encuentra el perro joven
ribi tore vivi vife mivi nibe,el jardinero busca la médica joven
ribi zoli vivi kote dira tole zova,el perro no mira la gata verde
ribi tore vivi vife gore tole,el jardinero mira la maestra joven
ribi rori vivi mivi tole zova,el niño no mira la médica
vivi mivi ribi vife rori giki zova,la médica no lleva el niño joven
vivi gore ribi toge zoli giki,la maestra lleva el perro feliz
vivi taki vivi toge gore liba,la niña lee la maestra feliz
vivi gore vivi kote mivi giki,la maestra lleva la médica verde
ribi rori ribi bene tore tole zova,el niño no mira el jardinero azul
vivi mivi vivi bene dira nibe,la médica busca la gata azul
ribi zoli ribi kita liba,el perro lee el músico
ribi rori ribi kote kita nibe,el niño busca el músico verde
ribi zoli vivi kote dira nibe,el perro busca la gata verde
ribi tore vivi kote taki mibe,el jardinero cuida la niña verde
ribi rori vivi bene mivi liba,el niño lee la médica azul
vivi mivi ribi kote tore mibe zova,la médica no cuida el jardinero verde
vivi mivi vivi sivi dira nole,la médica encuentra la gata grande
ribi tore ribi rori liba,el jardinero lee el niño
vivi dira ribi vife kita mibe zova,la gata no cuida el músico joven
vivi dira vivi sivi taki liba,la gata lee la niña grande
vivi dira vivi kote taki nibe zova,la gata no busca la niña verde
vivi mivi ribi toge rori liba,la médica lee el niño feliz
vivi dira vivi vife gore mibe zova,la gata no cuida la maestra joven
ribi zoli vivi kote dira giki,el perro lleva la gata verde
ribi kita ribi kote zoli giki,el músico lleva el perro verde
ribi kita ribi bene zoli liba zova,el músico no lee el perro azul
ribi kita vivi vife gore giki zova,el músico no lleva la maestra joven
vivi gore vivi toge taki giki zova,la maestra no lleva la niña feliz
ribi kita ribi toge zoli nole zova,el músico no encuentra el perro feliz
vivi gore ribi vife tore nole,la maestra encuentra el jardinero joven
vivi mivi vivi sivi gore tole zova,la médica no mira la maestra grande
vivi mivi ribi sivi rori giki,la médica lleva el niño grande
ribi rori ribi sivi kita tole zova,el niño no mira el músico grande
vivi dira vivi mivi nibe,la gata busca la médica
vivi taki ribi sivi zoli nole zova,la niña no encuentra el perro grande
vivi gore vivi taki nibe zova,la maestra no busca la niña
vivi mivi ribi toge kita nole,la médica encuentra el músico feliz
vivi dira ribi sivi rori nibe zova,la gata no busca el niño grande
vivi taki ribi sivi kita tole zova,la niña no mira el músico grande
ribi rori vivi toge taki nole zova,el niño no encuentra la niña feliz
vivi gore ribi sivi zoli nole zova,la maestra no encuentra el perro grande
ribi tore ribi sivi zoli mibe,el jardinero cuida el perro grande
vivi dira vivi taki giki,la gata lleva la niña
vivi gore vivi kote taki nibe,la maestra busca la niña verde
vivi dira vivi sivi mivi mibe zova,la gata no cuida la médica grande
vivi dira vivi toge taki giki zova,la gata no lleva la niña feliz
vivi gore ribi sivi rori nibe,la maestra busca el niño grande
ribi tore vivi kote gore tole,el jardinero mira la maestra verde
vivi taki ribi vife zoli nibe zova,la niña no busca el perro joven
ribi tore ribi toge zoli mibe,el jardinero cuida el perro feliz
ribi tore ribi kote rori nole,el jardinero encuentra el niño verde
vivi mivi ribi sivi zoli giki zova,la médica no lleva el perro grande
vivi dira ribi kote rori giki,la gata lleva el niño verde
vivi gore ribi bene zoli giki zova,la maestra no lleva el perro azul
ribi zoli vivi kote mivi nibe,el perro busca la médica verde
vivi taki ribi kita liba,la niña lee el músico
vivi dira vivi toge mivi nibe zova,la gata no busca la médica feliz
ribi kita vivi sivi gore tole,el músico mira la maestra grande
vivi taki ribi kote kita tole,la niña mira el músico verde
ribi tore ribi kote rori giki zova,el jardinero no lleva el niño verde
ribi zoli ribi rori tole zova,el perro no mira el niño
ribi zoli vivi bene dira giki zova,el perro no lleva la gata azul
ribi kita ribi kote rori giki zova,el músico no lleva el niño verde
ribi tore vivi kote taki giki zova,el jardinero no lleva la niña verde
ribi zoli ribi vife kita liba,el perro lee el músico joven
vivi taki ribi toge tore nole,la niña encuentra el jardinero feliz
ribi tore vivi vife gore giki zova,el jardinero no lleva la maestra joven
vivi taki ribi toge tore liba,la niña lee el jardinero feliz
vivi dira ribi rori giki zova,la gata no lleva el niño
vivi taki ribi bene rori mibe zova,la niña no cuida el niño azul
vivi dira ribi vife kita tole,la gata mira el músico joven
vivi dira vivi mivi nibe zova,la gata no busca la médica
ribi tore vivi vife dira mibe,el jardinero cuida la gata joven
vivi dira ribi vife kita liba,la gata lee el músico joven
ribi rori ribi toge tore nole,el niño encuentra el jardinero feliz
vivi taki vivi mivi mibe,la niña cuida la médica
ribi kita vivi gore tole,el músico mira la maestra
ribi zoli ribi bene kita tole zova,el perro no mira el músico azul
ribi kita ribi vife rori nibe zova,el músico no busca el niño joven
vivi dira vivi bene gore nole zova,la gata no encuentra la maestra azul
ribi kita ribi rori giki,el músico lleva el niño
vivi mivi ribi vife rori mibe zova,la médica no cuida el niño joven
ribi tore vivi kote taki nibe zova,el jardinero no busca la niña verde
ribi kita ribi vife rori mibe,el músico cuida el niño joven
vivi gore ribi vife rori mibe zova,la maestra no cuida el niño joven
vivi taki vivi sivi gore mibe zova,la niña no cuida la maestra grande
ribi zoli vivi mivi nibe zova,el perro no busca la médica
ribi rori vivi bene mivi giki zova,el niño no lleva la médica azul
vivi taki ribi bene zoli mibe zova,la niña no cuida el perro azul
vivi mivi vivi toge gore giki,la médica lleva la maestra feliz
ribi kita vivi kote gore mibe,el músico cuida la maestra verde
ribi zoli vivi toge gore nibe,el perro busca la maestra feliz
vivi mivi ribi sivi rori liba zova,la médica no lee el niño grande
ribi tore ribi kote zoli giki zova,el jardinero no lleva el perro verde
vivi taki vivi bene dira nole zova,la niña no encuentra la gata azul
ribi rori ribi bene tore liba,el niño lee el jardinero azul
ribi tore vivi sivi dira liba,el jardinero lee la gata grande
vivi dira ribi kote zoli nole,la gata encuentra el perro verde
vivi dira ribi bene rori liba,la gata lee el niño azul
vivi mivi vivi kote dira giki,la médica lleva la gata verde
vivi dira vivi sivi gore liba zova,la gata no lee la maestra grande
vivi mivi vivi toge taki mibe zova,la médica no cuida la niña feliz
vivi taki vivi mivi tole zova,la niña no mira la médica
ribi kita ribi bene zoli mibe,el músico cuida el perro azul
vivi taki vivi kote mivi nibe zova,la niña no busca la médica verde
vivi gore ribi zoli liba zova,la maestra no lee el perro
vivi mivi vivi sivi dira liba,la médica lee la gata grande
ribi tore ribi toge rori tole zova,el jardinero no mira el niño feliz
vivi dira ribi rori liba,la gata lee el niño
ribi kita ribi zoli mibe zova,el músico no cuida el perro
ribi kita vivi vife gore giki,el músico lleva la maestra joven
vivi dira ribi sivi kita giki,la gata lleva el músico grande
ribi zoli vivi gore nibe zova,el perro no busca la maestra
vivi mivi ribi vife rori tole zova,la médica no mira el niño joven
vivi mivi vivi kote dira giki zova,la médica no lleva la gata verde
ribi rori ribi tore nole,el niño encuentra el jardinero
vivi taki vivi vife mivi nibe,la niña busca la médica joven
ribi zoli vivi vife dira tole zova,el perro no mira la gata joven
vivi taki ribi toge tore giki zova,la niña no lleva el jardinero feliz
ribi zoli ribi kote tore giki zova,el perro no lleva el jardinero verde
ribi kita vivi bene gore liba,el músico lee la maestra azul
vivi mivi vivi kote taki nole zova,la médica no encuentra la niña verde
ribi kita vivi toge dira nole,el músico encuentra la gata feliz
vivi gore vivi bene mivi giki,la maestra lleva la médica azul
vivi mivi vivi toge gore liba,la médica lee la maestra feliz
ribi zoli ribi tore liba zova,el perro no lee el jardinero
vivi gore ribi bene zoli tole zova,la maestra no mira el perro azul
vivi dira ribi sivi kita tole,la gata mira el músico grande
ribi tore vivi vife gore nole,el jardinero encuentra la maestra joven
ribi tore ribi vife kita nole zova,el jardinero no encuentra el músico joven
ribi zoli ribi toge tore nole,el perro encuentra el jardinero feliz
vivi dira ribi vife rori giki,la gata lleva el niño joven
vivi taki vivi gore nole zova,la niña no encuentra la maestra
ribi tore vivi kote taki nole,el jardinero encuentra la niña verde
vivi taki vivi kote gore giki,la niña lleva la maestra verde
ribi kita vivi toge dira nibe zova,el músico no busca la gata feliz
vivi dira vivi toge mivi liba,la gata lee la médica feliz
ribi zoli vivi sivi gore nole zova,el perro no encuentra la maestra grande
vivi dira ribi zoli giki,la gata lleva el perro
ribi tore ribi toge zoli nibe,el jardinero busca el perro feliz
vivi taki vivi kote dira tole zova,la niña no mira la gata verde
vivi mivi ribi bene zoli giki zova,la médica no lleva el perro azul
vivi mivi vivi bene dira giki,la médica lleva la gata azul
vivi mivi vivi gore liba zova,la médica no lee la maestra
vivi taki vivi vife gore mibe,la niña cuida la maestra joven
ribi tore vivi toge mivi liba zova,el jardinero no lee la médica feliz
vivi mivi ribi toge tore giki zova,la médica no lleva el jardinero feliz
vivi mivi vivi taki mibe,la médica cuida la niña
ribi rori ribi vife zoli nibe,el niño busca el perro joven
ribi zoli ribi sivi tore tole,el perro mira el jardinero grande
ribi kita vivi sivi mivi liba zova,el músico no lee la médica grande
ribi kita ribi bene tore nibe,el músico busca el jardinero azul
ribi kita ribi kote tore mibe zova,el músico no cuida el jardinero verde
vivi mivi ribi zoli mibe,la médica cuida el perro
ribi rori vivi bene gore tole zova,el niño no mira la maestra azul
ribi zoli vivi vife taki nibe,el perro busca la niña joven
vivi mivi ribi kote kita nibe,la médica busca el músico verde
vivi mivi ribi sivi tore nibe,la médica busca el jardinero grande
ribi rori vivi bene dira mibe,el niño cuida la gata azul
vivi mivi vivi sivi dira mibe zova,la médica no cuida la gata grande
vivi mivi vivi kote taki nole,la médica encuentra la niña verde
vivi taki ribi tore giki zova,la niña no lleva el jardinero
vivi gore ribi vife kita giki zova,la maestra no lleva el músico joven
vivi dira vivi kote mivi tole,la gata mira la médica verde
vivi gore vivi sivi taki mibe,la maestra cuida la niña grande
vivi dira ribi tore mibe zova,la gata no cuida el jardinero
vivi dira ribi zoli liba zova,la gata no lee el perro
ribi tore ribi vife kita mibe zova,el jardinero no cuida el músico joven
ribi zoli ribi vife rori tole,el perro mira el niño joven
ribi kita vivi sivi dira tole,el músico mira la gata grande
vivi dira vivi bene gore tole zova,la gata no mira la maestra azul
vivi gore ribi toge kita nibe,la maestra busca el músico feliz
ribi zoli vivi toge dira tole zova,el perro no mira la gata feliz
