idioma_secreto,espanol
ribi kita ribi bene tore mibe,el músico cuida el jardinero azul
ribi kita vivi kote mivi tole,el músico mira la médica verde
ribi zoli ribi toge kita tole,el perro mira el músico feliz
ribi rori vivi sivi taki liba,el niño lee la niña grande
vivi gore vivi kote taki giki zova,la maestra no lleva la niña verde
ribi kita vivi vife taki giki zova,el músico no lleva la niña joven
vivi gore vivi bene taki nole,la maestra encuentra la niña azul
vivi taki vivi bene dira liba,la niña lee la gata azul
ribi tore vivi taki nibe zova,el jardinero no busca la niña
ribi rori vivi vife taki nibe,el niño busca la niña joven
ribi zoli vivi toge gore giki,el perro lleva la maestra feliz
ribi tore ribi toge zoli liba zova,el jardinero no lee el perro feliz
vivi taki vivi bene dira tole,la niña mira la gata azul
ribi rori vivi toge mivi nole,el niño encuentra la médica feliz
vivi gore vivi taki nole zova,la maestra no encuentra la niña
vivi gore vivi vife taki nole,la maestra encuentra la niña joven
ribi rori ribi toge kita nole,el niño encuentra el músico feliz
vivi mivi ribi vife kita liba zova,la médica no lee el músico joven
ribi kita vivi sivi mivi nibe zova,el músico no busca la médica grande
vivi mivi ribi tore mibe zova,la médica no cuida el jardinero
vivi dira vivi kote gore mibe,la gata cuida la maestra verde
ribi tore ribi bene zoli nole,el jardinero encuentra el perro azul
ribi zoli vivi bene taki tole zova,el perro no mira la niña azul
vivi gore ribi toge kita giki zova,la maestra no lleva el músico feliz
ribi kita ribi rori liba zova,el músico no lee el niño
vivi gore ribi sivi tore tole,la maestra mira el jardinero grande
vivi gore vivi bene mivi nole,la maestra encuentra la médica azul
ribi rori vivi sivi mivi nole zova,el niño no encuentra la médica grande
ribi zoli vivi toge taki mibe,el perro cuida la niña feliz
ribi tore ribi bene zoli liba,el jardinero lee el perro azul
ribi kita vivi dira tole zova,el músico no mira la gata
vivi taki ribi sivi rori nole,la niña encuentra el niño grande
ribi zoli ribi vife kita giki,el perro lleva el músico joven
vivi gore vivi mivi mibe zova,la maestra no cuida la médica
ribi kita ribi kote zoli nibe zova,el músico no busca el perro verde
ribi kita vivi toge mivi mibe zova,el músico no cuida la médica feliz
ribi rori ribi bene kita liba zova,el niño no lee el músico azul
ribi rori ribi bene zoli liba zova,el niño no lee el perro azul
vivi gore ribi sivi kita tole zova,la maestra no mira el músico grande
ribi zoli vivi sivi gore mibe zova,el perro no cuida la maestra grande
ribi kita ribi sivi zoli liba,el músico lee el perro grande
ribi kita ribi toge rori liba,el músico lee el niño feliz
vivi gore vivi sivi taki tole,la maestra mira la niña grande
vivi mivi vivi sivi dira nole zova,la médica no encuentra la gata grande
vivi dira ribi sivi rori mibe zova,la gata no cuida el niño grande
ribi zoli ribi kita mibe,el perro cuida el músico
ribi zoli vivi kote gore tole,el perro mira la maestra verde
ribi tore ribi bene rori giki zova,el jardinero no lleva el niño azul
vivi gore vivi dira nole,la maestra encuentra la gata
ribi zoli ribi kote rori liba zova,el perro no lee el niño verde
vivi dira ribi toge rori nole zova,la gata no encuentra el niño feliz
vivi gore vivi kote mivi nole,la maestra encuentra la médica verde
ribi rori vivi sivi dira giki,el niño lleva la gata grande
ribi kita vivi bene dira nibe zova,el músico no busca la gata azul
ribi kita ribi toge zoli tole,el músico mira el perro feliz
ribi kita vivi kote mivi mibe,el músico cuida la médica verde
vivi mivi ribi vife tore giki zova,la médica no lleva el jardinero joven
vivi mivi ribi sivi kita liba,la médica lee el músico grande
ribi kita ribi sivi zoli tole zova,el músico no mira el perro grande
ribi zoli ribi vife tore nibe,el perro busca el jardinero joven
vivi dira vivi toge taki liba zova,la gata no lee la niña feliz
vivi taki vivi kote mivi mibe,la niña cuida la médica verde
ribi kita vivi vife mivi nibe,el músico busca la médica joven
ribi kita vivi dira giki,el músico lleva la gata
ribi rori vivi bene taki tole zova,el niño no mira la niña azul
vivi dira ribi toge rori nole,la gata encuentra el niño feliz
vivi dira ribi kote kita tole zova,la gata no mira el músico verde
ribi kita ribi toge tore nole zova,el músico no encuentra el jardinero feliz
vivi taki vivi mivi giki zova,la niña no lleva la médica
ribi tore ribi toge rori nibe,el jardinero busca el niño feliz
vivi gore vivi vife dira tole zova,la maestra no mira la gata joven
ribi zoli vivi bene dira nibe,el perro busca la gata azul
vivi dira ribi kote kita nole,la gata encuentra el músico verde
vivi dira vivi bene taki nibe zova,la gata no busca la niña azul
vivi mivi ribi sivi kita giki zova,la médica no lleva el músico grande
vivi dira vivi vife gore tole,la gata mira la maestra joven
ribi kita ribi bene rori nole zova,el músico no encuentra el niño azul
ribi rori vivi sivi mivi mibe zova,el niño no cuida la médica grande
ribi rori ribi toge zoli tole zova,el niño no mira el perro feliz
vivi gore vivi bene taki mibe,la maestra cuida la niña azul
ribi zoli ribi kote rori liba,el perro lee el niño verde
vivi taki ribi bene zoli liba zova,la niña no lee el perro azul
vivi mivi ribi vife tore tole,la médica mira el jardinero joven
ribi rori vivi bene taki nibe zova,el niño no busca la niña azul
vivi taki ribi rori nole,la niña encuentra el niño
ribi zoli vivi vife gore tole,el perro mira la maestra joven
ribi rori vivi vife dira nole zova,el niño no encuentra la gata joven
vivi gore ribi sivi tore giki,la maestra lleva el jardinero grande
ribi rori vivi gore tole zova,el niño no mira la maestra
ribi kita vivi vife mivi liba zova,el músico no lee la médica joven
ribi rori ribi vife kita mibe,el niño cuida el músico joven
vivi taki vivi kote mivi mibe zova,la niña no cuida la médica verde
vivi mivi ribi vife kita tole zova,la médica no mira el músico joven
vivi mivi vivi vife dira liba zova,la médica no lee la gata joven
ribi zoli vivi sivi dira liba zova,el perro no lee la gata grande
ribi tore vivi mivi nole,el jardinero encuentra la médica
vivi dira vivi taki nole,la gata encuentra la niña
ribi kita ribi sivi rori nibe,el músico busca el niño grande
vivi dira ribi rori nole,la gata encuentra el niño
ribi tore vivi kote mivi nibe zova,el jardinero no busca la médica verde
vivi gore vivi bene mivi nibe,la maestra busca la médica azul
ribi tore ribi sivi rori mibe zova,el jardinero no cuida el niño grande
vivi gore ribi bene tore nibe zova,la maestra no busca el jardinero azul
vivi mivi ribi bene tore nibe,la médica busca el jardinero azul
